model,MAE,MSQ,MAPE,R2,RMSE
dummy,2.2,8.3,651170209934094.5,-21.401,2.9
basic,0.4,0.3,43581603156144.59,0.191,0.6
RandForest#PCA,0.4,0.3,72082925923328.42,0.274,0.6
